name,year elected,year terminated, District
William Robinson,1978,1985
Jim Bulls,1977,1980, 
Richard E. Givens,1976,1987
James Lally,1976,1980
Frank Lucchino,1974,1978
John Lynch,1970,1976
Robert Rade Stone,1973,1985
Charles Leslie,1970,1972
Amy Ballinger,1970,1976
George Shields,1970,1974
John Lynch,1970,1976
Edgar Michaels,1969,1974
Thomas Fagan,1968,1973
Louis Mason Jr.,1967,1977
Walter Kamyk,1963,1970
Phillip Baskin,1962,1970
George Shields,1970,1974
Edgar Michaels,1969,1974
J. Craig Kuhn,1959,1970
Irma D'Ascenzo,1956,1970
John Counahan,1952,1970
